88.472,88.472,88.472,88.472,88.472,88.472,88.472,88.472,88.472,88.472,88.472,88.472,88.472,88.472,88.472,88.472,88.472,88.472,88.472,88.472,88.472,88.472,88.472,88.472,88.472,88.472,88.472,88.472,88.472,88.472,88.472,88.472,88.472,88.472,88.472,88.472,88.472,88.472,88.472,88.472,88.472,88.472,88.472,88.472,88.472,88.472,88.472,88.472,88.472,88.472,88.472,88.472,88.472,88.472,88.472,88.472,88.472,88.472,88.472,88.472,88.472,88.472,88.472,88.472
84.499,84.499,84.499,84.499,84.499,84.499,84.499,84.499,84.499,84.499,84.499,84.499,84.499,84.499,84.499,84.499,84.499,84.499,84.499,84.499,84.499,84.499,84.499,84.499,84.499,84.499,84.499,84.499,84.499,84.499,84.499,84.499,84.499,84.499,84.499,84.499,84.499,84.499,84.499,84.499,84.499,84.499,84.499,84.499,84.499,84.499,84.499,84.499,84.499,84.499,84.499,84.499,84.499,84.499,84.499,84.499,84.499,84.499,84.499,84.499,84.499,84.499,84.499,84.499
81.284,81.284,81.284,81.284,81.284,81.284,81.284,81.284,81.284,81.284,81.284,81.284,81.284,81.284,81.284,81.284,81.284,81.284,81.284,81.284,81.284,81.284,81.284,81.284,81.284,81.284,81.284,81.284,81.284,81.284,81.284,81.284,81.284,81.284,81.284,81.284,81.284,81.284,81.284,81.284,81.284,81.284,81.284,81.284,81.284,81.284,81.284,81.284,81.284,81.284,81.284,81.284,81.284,81.284,81.284,81.284,81.284,81.284,81.284,81.284,81.284,81.284,81.284,81.284
78.745,78.745,78.745,78.745,78.745,78.745,78.745,78.745,78.745,78.745,78.745,78.745,78.745,78.745,78.745,78.745,78.745,78.745,78.745,78.745,78.745,78.745,78.745,78.745,78.745,78.745,78.745,78.745,78.745,78.745,78.745,78.745,78.745,78.745,78.745,78.745,78.745,78.745,78.745,78.745,78.745,78.745,78.745,78.745,78.745,78.745,78.745,78.745,78.745,78.745,78.745,78.745,78.745,78.745,78.745,78.745,78.745,78.745,78.745,78.745,78.745,78.745,78.745,78.745
76.787,76.787,76.787,76.787,76.787,76.787,76.787,76.787,76.787,76.787,76.787,76.787,76.787,76.787,76.787,76.787,76.787,76.787,76.787,76.787,76.787,76.787,76.787,76.787,76.787,76.787,76.787,76.787,76.787,76.787,76.787,76.787,76.787,76.787,76.787,76.787,76.787,76.787,76.787,76.787,76.787,76.787,76.787,76.787,76.787,76.787,76.787,76.787,76.787,76.787,76.787,76.787,76.787,76.787,76.787,76.787,76.787,76.787,76.787,76.787,76.787,76.787,76.787,76.787
75.308,75.308,75.308,75.308,75.308,75.308,75.308,75.308,75.308,75.308,75.308,75.308,75.308,75.308,75.308,75.308,75.308,75.308,75.308,75.308,75.308,75.308,75.308,75.308,75.308,75.308,75.308,75.308,75.308,75.308,75.308,75.308,75.308,75.308,75.308,75.308,75.308,75.308,75.308,75.308,75.308,75.308,75.308,75.308,75.308,75.308,75.308,75.308,75.308,75.308,75.308,75.308,75.308,75.308,75.308,75.308,75.308,75.308,75.308,75.308,75.308,75.308,75.308,75.308
74.212,74.212,74.212,74.212,74.212,74.212,74.212,74.212,74.212,74.212,74.212,74.212,74.212,74.212,74.212,74.212,74.212,74.212,74.212,74.212,74.212,74.212,74.212,74.212,74.212,74.212,74.212,74.212,74.212,74.212,74.212,74.212,74.212,74.212,74.212,74.212,74.212,74.212,74.212,74.212,74.212,74.212,74.212,74.212,74.212,74.212,74.212,74.212,74.212,74.212,74.212,74.212,74.212,74.212,74.212,74.212,74.212,74.212,74.212,74.212,74.212,74.212,74.212,74.212
73.406,73.406,73.406,73.406,73.406,73.406,73.406,73.406,73.406,73.406,73.406,73.406,73.406,73.406,73.406,73.406,73.406,73.406,73.406,73.406,73.406,73.406,73.406,73.406,73.406,73.406,73.406,73.406,73.406,73.406,73.406,73.406,73.406,73.406,73.406,73.406,73.406,73.406,73.406,73.406,73.406,73.406,73.406,73.406,73.406,73.406,73.406,73.406,73.406,73.406,73.406,73.406,73.406,73.406,73.406,73.406,73.406,73.406,73.406,73.406,73.406,73.406,73.406,73.406
72.807,72.807,72.807,72.807,72.807,72.807,72.807,72.807,72.807,72.807,72.807,72.807,72.807,72.807,72.807,72.807,72.807,72.807,72.807,72.807,72.807,72.807,72.807,72.807,72.807,72.807,72.807,72.807,72.807,72.807,72.807,72.807,72.807,72.807,72.807,72.807,72.807,72.807,72.807,72.807,72.807,72.807,72.807,72.807,72.807,72.807,72.807,72.807,72.807,72.807,72.807,72.807,72.807,72.807,72.807,72.807,72.807,72.807,72.807,72.807,72.807,72.807,72.807,72.807
72.345,72.345,72.345,72.345,72.345,72.345,72.345,72.345,72.345,72.345,72.345,72.345,72.345,72.345,72.345,72.345,72.345,72.345,72.345,72.345,72.345,72.345,72.345,72.345,72.345,72.345,72.345,72.345,72.345,72.345,72.345,72.345,72.345,72.345,72.345,72.345,72.345,72.345,72.345,72.345,72.345,72.345,72.345,72.345,72.345,72.345,72.345,72.345,72.345,72.345,72.345,72.345,72.345,72.345,72.345,72.345,72.345,72.345,72.345,72.345,72.345,72.345,72.345,72.345
